Source,Type,Target,Weight
АхматоваАА,Directed,БрюсовВЯ,1
АхматоваАА,Directed,НекрасовНА,1
АхматоваАА,Directed,ФетАА,1
АхматоваАА,Directed,БайронД,1
АхматоваАА,Directed,ВяземскийПА,1
АхматоваАА,Directed,ГерценАИ,1
АхматоваАА,Directed,КитсД,1
АхматоваАА,Directed,ДудинМА,1
АхматоваАА,Directed,Вергилий,1
АхматоваАА,Directed,БродскийИА,1
АхматоваАА,Directed,Гораций,1
АхматоваАА,Directed,ЛабеЛ,1
